cs.root: 1
CH[0]: 950 1100
CH[1]: 700 850
CH[2]: 700 850
CH[3]: 750 900
CH[4]: 850 1000
CH[5]: 800 950
CH[6]: 710 850
CH[7]: 750 900
CH[8]: 700 900
CH[9]: 700 800
CH[10]: 900 1100
CH[11]: 900 1100
CH[12]: 750 850
CH[13]: 780 920
CH[14]: 720 900
CH[15]: 750 900
Na.root: 1
CH[0]: 750 850
CH[1]: 500 600
CH[2]: 500 600
CH[3]: 500 620
CH[4]: 650 750
CH[5]: 600 710
CH[6]: 520 610
CH[7]: 510 650
CH[8]: 500 600
CH[9]: 450 550
CH[10]: 650 780
CH[11]: 700 810
CH[12]: 520 610
CH[13]: 590 680
CH[14]: 580 650
CH[15]: 520 670
#co3.root: 2
CH[0]: 1680 1810
CH[1]: 1180 1310
CH[2]: 1250 1380
CH[3]: 1220 1340
CH[4]: 1500 1620
CH[5]: 1380 1500
CH[6]: 1200 1320
CH[7]: 1280 1400
CH[8]: 1200 1320
CH[9]: 1150 1300
CH[10]: 1550 1680
CH[11]: 1500 1700
CH[12]: 1250 1400
CH[13]: 1300 1500
CH[14]: 1250 1450
CH[15]: 1250 1400
CH[0]: 1920 2100
CH[1]: 1340 1490
CH[2]: 1420 1530
CH[3]: 1400 1530
CH[4]: 1750 1850
CH[5]: 1600 1750
CH[6]: 1400 1500
CH[7]: 1500 1600
CH[8]: 1400 1500
CH[9]: 1320 1500
CH[10]: 1800 1900
CH[11]: 1780 1900
CH[12]: 1400 1550
CH[13]: 1500 1700
CH[14]: 1500 1620
CH[15]: 1420 1600
